iter	RMSE
214	822605.2364
215	822062.2149
216	821703.3723
217	821346.9118
218	820424.349
219	820071.0809
220	819534.0506
221	818679.2923
222	818331.4165
223	817983.6947
224	817446.5029
225	817103.3547
226	816203.363
227	815662.6278
228	815322.3851
229	814580.0701
230	814243.2707
231	813912.0376
232	813582.1714
233	813062.3313
234	812734.9741
235	812413.1424
236	811917.7438
237	811082.2406
238	810763.0208
239	810090.4661
240	809772.2762
241	809285.5565
242	808392.7743
243	807724.5875
244	807409.274
245	807098.0784
246	806619.2614
247	806309.9254
248	806003.0324
249	805517.8322
250	804822.2847
251	804518.9646
252	804036.6276
253	803709.5191
254	803386.3065
255	803067.9137
256	802755.9903
257	802446.9841
258	801645.3376
259	801006.0467
260	800701.538
261	800173.9686
262	799362.9132
263	798695.7589
264	798193.9859
265	797892.2747
266	797426.3514
267	796668.7547
268	796121.651
269	795833.3199
270	795212.916
271	794623.5209
272	794336.7675
273	793881.7807
274	793597.3611
275	793147.1036
276	792864.7658
277	792423.6874
278	792143.4197
279	791865.369
280	791589.5985
281	791153.3344
282	790879.7492
283	790450.867
284	790177.7286
285	789637.124
286	788798.4234
287	788528.3474
288	788260.3423
289	787993.6273
290	787394.2527
291	786972.6503
292	786708.2408
293	786445.0879
294	785787.7031
295	785370.5391
296	784957.9032
297	784450.1383
298	784188.3699
299	783927.4619
300	783669.6946
301	783263.5868
302	783007.5609
303	782752.86
304	782500.6554
305	781837.2913
306	781435.4422
307	780860.1332
308	780462.4056
309	780210.6419
310	779559.8682
311	779309.4832
312	779060.4451
313	778813.2191
314	778318.0484
315	777757.3709
316	777365.1026
317	776846.5052
318	776600.7896
319	776356.2315
320	775968.2504
321	775724.3761
322	775340.6679
323	775098.4365
324	774857.9359
325	774619.0411
326	774381.1577
327	773619.7958
328	773241.7243
329	773005.126
330	772557.0336
331	771981.8728
332	771477.1306
333	771241.8857
334	770867.0519
335	770496.5681
336	770262.3483
337	770028.9587
338	769797.3
339	769567.3204
340	769201.8476
341	768973.1241
342	768394.8195
343	768166.7694
344	767803.4917
345	767576.9755
346	767217.5907
347	766992.5622
348	766748.1564
349	766507.4258
350	766269.681
351	766033.7437
352	765800.9575
353	765334.0522
354	764698.3304
355	764469.5161
356	764243.0543
357	763885.629
358	763358.8248
359	763006.8404
360	762565.4304
361	762214.9845
362	761671.5789
363	761447.0927
364	761101.4905
365	760883.8768
366	760662.8465
367	760116.8454
368	759773.7981
369	759295.2408
370	759080.8723
371	758867.5563
372	758655.6692
373	758316.9987
374	758105.5487
375	757556.0593
376	757133.8725
377	756797.2441
378	756586.6295
379	756253.3497
380	756044.1987
381	755576.0889
382	754934.2291
383	754604.4746
384	754395.707
385	754188.198
386	753981.5988
387	753655.5166
388	753450.5746
389	753246.1726
390	752922.0796
391	752718.6185
392	752516.4344
393	752086.3234
394	751765.0616
395	751256.7931
396	751055.689
397	750554.3931
398	750354.1947
399	750036.0598
400	749836.4522
401	749440.6483
402	749024.7589
403	748698.1203
404	748376.5969
405	748060.2336
406	747603.9922
407	747404.1147
408	747205.3902
409	747008.7996
410	746699.3239
411	746503.681
412	746308.6316
413	746114.3008
414	745921.2587
415	745615.4124
416	744587.5013
417	744225.4645
418	744033.1616
419	743842.0291
420	743538.6119
421	743347.8211
422	743157.9151
423	742675.1109
424	742238.8913
425	741936.9276
426	741518.0581
427	741328.9008
428	741029.3545
429	740841.5215
430	740654.5425
431	740277.5452
432	739770.3142
433	739354.7979
434	738981.433
435	738683.1527
436	738496.0643
437	738201.2442
438	738014.8257
439	737830.0528
440	737645.2905
441	737352.7962
442	737169.1474
443	736878.617
444	736590.1301
445	736407.1956
446	735888.865
447	735706.4225
448	735524.847
449	735344.6761
450	734900.9413
451	734721.1818
452	734352.8764
453	734068.2226
454	733889.1385
455	733711.1548
456	733429.2155
457	733032.5484
458	732854.8534
459	732430.9736
460	732150.4783
461	731973.7385
462	731797.928
463	731086.6335
464	730911.5678
465	730633.3045
466	730459.3455
467	730183.475
468	730009.2364
469	729536.1174
470	729364.2632
471	729023.7904
472	728689.3687
473	727308.7956
474	727033.4019
475	726860.2074
476	726588.099
477	725270.2084
478	725098.9398
479	724927.8874
480	724528.0205
481	724257.8463
482	723838.2548
483	723508.0712
484	723339.4133
485	722978.162
486	722710.0802
487	722541.1993
488	722373.5505
489	722206.8319
490	721807.8057
491	721641.5897
492	721377.0163
493	721115.5303
494	720950.693
495	720508.9723
496	720344.5263
497	720180.6566
498	720017.1578
499	719854.755
500	719469.0674
501	718446.2578
502	718184.8155
503	717815.0922
504	717557.1493
505	717395.3733
506	717099.8991
507	716939.1542
508	716778.8828
509	716619.0648
510	716364.6165
511	715208.7903
512	715032.7155
513	714780.449
514	714406.2436
515	714248.1879
516	714090.8545
517	713619.9912
518	713369.4462
519	713212.0048
520	713040.7251
521	712733.6457
522	712561.2609
523	712313.1866
524	712143.0807
525	711975.4735
526	711809.0084
527	711641.9671
528	711478.4839
529	711304.7849
530	711133.8081
531	710972.7919
532	710814.231
533	710650.6132
534	710308.4251
535	709746.5399
536	709590.608
537	709344.6072
538	709188.8434
539	708834.4526
540	708680.5713
541	708526.89
542	708374.9524
543	707964.4303
544	706999.0712
545	706753.3277
546	706511.2874
547	706135.9764
548	705841.5414
549	705601.513
550	705363.1969
551	705214.7543
552	705066.6892
553	704744.7322
554	704509.4501
555	704231.3915
556	703789.818
557	703405.6779
558	702997.7438
559	702849.7795
560	702702.8746
561	702469.238
562	702322.8885
563	701381.8667
564	701063.8008
565	700781.4575
566	700635.4794
567	700403.5425
568	700258.7372
569	700113.8739
570	699966.1436
571	699736.3365
572	699592.5993
573	699449.2283
574	699111.8629
575	698749.4795
576	698606.2422
577	698377.9335
578	698235.3914
579	696633.9533
580	696491.2728
581	696247.8275
582	695363.4423
583	694995.6979
584	694854.2667
585	694539.3369
586	694385.0701
587	694105.7849
588	693695.8934
589	693378.9179
590	693150.0427
591	692998.6589
592	692771.1801
593	692553.1547
594	692339.0541
595	692192.5646
596	692048.7623
597	691906.508
598	691767.6843
599	691548.9785
600	691407.9738
601	691159.8584
602	690946.5101
603	690734.3977
604	690595.0189
605	690243.0838
606	690105.3295
607	689967.8228
608	689830.9073
609	689622.9204
610	689210.5632
611	688953.0846
612	688152.3879
613	688004.7677
614	687629.9018
615	687484.0057
616	687335.9454
617	687179.6156
618	687026.7157
619	686876.4996
620	686729.5814
621	686584.8169
622	686442.8312
623	686303.4241
624	686166.3508
625	685950.4653
626	685816.8998
627	685473.862
628	685339.6009
629	685206.4774
630	684856.2867
631	684597.1927
632	684382.9897
633	684250.8286
634	684046.9328
635	683585.4186
636	683453.246
637	683233.453
638	683024.441
639	682893.4557
640	682762.7493
641	682323.6019
642	682186.5066
643	681842.1741
644	681567.1786
645	681359.2814
646	680859.4129
647	680484.8465
648	680354.9638
649	680225.666
650	680018.9769
651	679889.1144
652	679683.6962
653	679427.9796
654	679139.4095
655	679010.0317
656	678627.9331
657	678415.2337
658	678286.8996
659	678084.7093
660	677891.4579
661	677764.0152
662	677517.3578
663	677389.9274
664	677122.6614
665	676995.7544
666	676868.8916
667	676545.0523
668	676418.7563
669	676293.2704
670	676093.6864
671	675969.0871
672	675833.53
673	675699.2291
674	675565.8969
675	675367.4886
676	675235.8827
677	674972.6058
678	674842.0984
679	674712.9736
680	674585.3448
681	674459.3649
682	674335.1025
683	674137.9683
684	673838.5845
685	673714.6689
686	673592.2481
687	673246.7258
688	673050.9158
689	672809.7568
690	672114.1754
691	671918.9444
692	671798.3633
693	671677.2734
694	671484.4677
695	671184.0232
696	671063.1157
697	670871.9504
698	670751.9208
699	670514.5414
700	670227.916
701	670108.161
702	669918.1002
703	669798.9982
704	669679.8655
705	669372.9809
706	669177.7717
707	669058.785
708	668940.1501
709	668747.8006
710	668492.6975
711	668302.9176
712	668184.9202
713	667986.8914
714	667802.4843
715	667620.1017
716	667340.6453
717	667126.1456
718	666948.1174
719	666830.1751
720	666653.9892
721	666536.5568
722	666303.5857
723	665909.7984
724	665681.9683
725	665564.8805
726	665447.8271
727	665176.7941
728	664898.892
729	664781.9421
730	664665.2616
731	664549.4277
732	664233.9907
733	664118.2659
734	663306.2619
735	663190.5992
736	663016.2517
737	662724.4365
738	662609.3814
739	662225.9418
740	662110.4978
741	661995.917
742	661881.7581
743	661645.4089
744	661438.7835
745	661324.5405
746	661211.2646
747	661031.7882
748	660918.5324
749	660805.7547
750	660627.4521
751	660515.0571
752	660402.8534
753	660123.6353
754	659538.0524
755	659425.971
756	659169.0746
757	658992.8647
758	658881.2112
759	658663.8225
760	658552.4567
761	658441.6093
762	658192.0462
763	657977.6795
764	657808.9423
765	657698.3409
766	657515.397
767	657405.1972
768	657218.4652
769	657048.1562
770	656937.9866
771	656760.692
772	656405.6517
773	656295.022
774	656184.9897
775	656075.3935
776	655776.0295
777	655535.7779
778	655261.4157
779	655152.2445
780	655043.5036
781	654935.1921
782	654733.7641
783	654625.8485
784	654453.9079
785	654346.3362
786	654171.8807
787	653934.1072
788	653770.892
789	653655.6497
790	653390.4166
791	653222.4178
792	653109.2982
793	652997.3054
794	652886.6028
795	652776.9935
796	652668.4069
797	652502.284
798	652394.654
799	652205.6317
800	652043.1807
801	651252.3537
802	651145.881
803	651040.2333
804	650935.0202
805	650829.2147
806	650724.4376
807	650507.4326
808	650346.1633
809	650241.8164
810	650137.3667
811	650033.0072
812	649929.2277
813	649733.2059
814	649629.6849
815	649464.8129
816	649296.3396
817	649133.2313
818	648977.9618
819	648724.5746
820	648573.6024
821	648470.2917
822	648318.7617
823	648158.7769
824	647963.5802
825	647811.3901
826	647657.2267
827	647554.1719
828	647298.4449
829	647158.9365
830	646906.0451
831	646621.5387
832	646518.6345
833	646370.5908
834	645530.1119
835	645427.6758
836	645324.9228
837	644962.4033
838	644741.3615
839	644638.5672
840	644536.0902
841	644434.0639
842	644324.7881
843	644140.7476
844	644032.5871
845	643926.0659
846	643512.4479
847	643406.4579
848	643218.592
849	643113.3056
850	643009.3534
851	642906.4081
852	642804.1762
853	642159.356
854	642058.4996
855	641915.0284
856	641687.543
857	641587.8373
858	641324.4448
859	641225.6227
860	640964.1584
861	640759.2381
862	640660.662
863	640504.4567
864	640406.149
865	640213.7402
866	640116.3534
867	640018.3383
868	639800.6765
869	639702.9211
870	639605.3204
871	639450.5524
872	639353.3033
873	639159.2832
874	638999.0495
875	638845.1432
876	638672.5075
877	638575.3549
878	638478.6021
879	638238.2829
880	637690.0577
881	637538.746
882	637360.1593
883	637263.2792
884	637166.6981
885	637070.2743
886	636975.2597
887	636879.518
888	636736.2334
889	635817.8107
890	635489.1641
891	635347.171
892	635207.7629
893	635044.0987
894	634900.5608
895	634804.6851
896	634709.2367
897	634522.3228
898	634428.9301
899	634334.0481
900	634186.1785
901	634091.5838
902	633325.6169
903	633230.0646
904	633135.5367
905	632885.1657
906	632790.9394
907	632697.0313
908	632548.0471
909	632341.8112
910	632248.2591
911	632155.0267
912	631936.1097
913	631843.1807
914	631698.7751
915	631565.0357
916	631402.7444
917	631261.1554
918	631168.2441
919	631075.8174
920	630983.5182
921	630741.7439
922	630601.4315
923	630509.0567
924	630273.2649
925	630181.1053
926	630005.2297
927	629913.3415
928	629821.8618
929	629569.5369
930	629478.1616
931	629334.5591
932	628832.41
933	628741.1465
934	628650.2756
935	628559.6585
936	628469.2364
937	628254.0213
938	628096.2258
939	628005.941
940	627868.7472
941	627778.6217
942	627581.6377
943	627491.6955
944	627401.9894
945	627312.598
946	627170.7792
947	626670.5546
948	626581.1475
949	626491.9376
950	626403.1001
951	626314.5704
952	626174.123
953	626039.701
954	625943.7167
955	625848.8891
956	625760.6912
957	625672.4165
958	625460.1217
959	625298.7856
960	625205.0961
961	625120.9445
962	624815.3283
963	624722.5844
964	624583.1041
965	624398.4777
966	624306.6101
967	624215.6423
968	624125.7847
969	624036.9389
970	623948.7584
971	623810.2144
972	623722.9807
973	623640.0854
974	623503.159
975	623278.4602
976	623192.6061
977	622955.7735
978	622789.611
979	622703.5087
980	622572.1965
981	622432.1482
982	622272.1666
983	622143.4637
984	622007.5747
985	621758.3567
986	621673.8204
987	621591.6117
988	621505.9879
989	621297.5842
990	621158.416
991	621072.5628
992	620936.4748
993	620806.2214
994	620720.9165
995	620635.6809
996	620512.6562
997	620427.7514
998	620179.1031
999	620094.33
